Kanal 1 Theta;Kanal 2 Theta;Kanal 1 Alpha;Kanal 2 Alpha;Kanal 1 Lo-Beta;Kanal 2 Lo-Beta;Kanal 1 Beta;Kanal 2 Beta;Ratio Theta Kanal 1 zu 2;Ratio Alpha Kanal 1 zu 2;Ratio Lo-Beta Kanal 1 zu 2;Ratio Beta Kanal 1 zu 2
0;0;0;0;0;0;0;0;16777216;16777216;16777216;16777216
34,546875;27,890625;17,148438;14,898438;10,484375;8,328125;7,335938;6,65625;1,226563;1,148438;1,25;1,101563
2,3125;0,929688;1,0625;0,265625;0,539063;0,09375;0,148438;0,0625;1,273438;1,203125;1,304688;1,109375
0,078125;16,421875;0,015625;5,320313;0;1,882813;0;0,914063;0,820313;0,890625;1,070313;0,976563
0,007813;1,117188;0;0,148438;0;0,03125;0;0;0,796875;0,890625;1,0625;0,976563
6,9375;0,070313;3,210938;0,046875;2,117188;0,070313;1,0625;0,03125;0,945313;1,039063;1,257813;1,109375
3,851563;0,054688;2,804688;0,03125;1,875;0,03125;1,65625;0,023438;1,023438;1,179688;1,4375;1,328125
3,179688;0;4,953125;0;2,265625;0;1,679688;0;1,09375;1,421875;1,671875;1,554688
4,6875;3,578125;4,40625;0,789063;1,5;0,429688;1,71875;0,304688;1,117188;1,585938;1,75;1,71875
8,039063;4,515625;3,617188;0,867188;2,3125;0,453125;1,859375;0,414063;1,164063;1,695313;1,882813;1,867188
8,710938;6,023438;5,28125;0,820313;2,375;0,460938;2,101563;0,195313;1,195313;1,867188;2,007813;2,070313
3,734375;1,859375;3;1,304688;2,265625;0,4375;1,515625;0,265625;1,21875;1,890625;2,132813;2,171875
5,445313;2,4375;3,828125;0,710938;2,710938;0,4375;1,0625;0,179688;1,257813;1,992188;2,289063;2,265625
5,484375;3,0625;4,734375;1,078125;2,210938;0,34375;2,296875;0,367188;1,28125;2,101563;2,390625;2,40625
7,867188;3,21875;4,476563;0,789063;2,070313;0,367188;1,507813;0,25;1,328125;2,210938;2,476563;2,515625
5,101563;4,710938;5,460938;0,8125;1,554688;0,445313;1,765625;0,242188;1,320313;2,34375;2,507813;2,625
6,132813;3,085938;8,742188;0,6875;7,84375;0,34375;9,039063;0,34375;1,351563;2,585938;2,984375;3,4375
3,398438;4,71875;5,835938;0,84375;4,03125;0,421875;2,96875;0,234375;1,320313;2,71875;3,21875;3,671875
5,601563;6,90625;3,953125;0,601563;3,125;0,5;2,875;0,304688;1,28125;2,8125;3,3125;3,820313
4,679688;3,257813;5,078125;0,578125;3,742188;0,429688;3,8125;0,234375;1,28125;2,914063;3,476563;4,09375
3,484375;2,835938;4,414063;0,492188;2,09375;0,40625;3,273438;0,21875;1,28125;3,015625;3,507813;4,351563
6,296875;2,070313;2,84375;0,8125;2,109375;0,421875;2,640625;0,257813;1,320313;3,03125;3,585938;4,429688
3,867188;3,640625;2,84375;0,78125;2,554688;0,398438;2;0,34375;1,3125;3,046875;3,640625;4,46875
4,921875;2,273438;5,921875;0,6875;2,257813;0,398438;2,109375;0,28125;1,328125;3,15625;3,65625;4,585938
5,4375;2,570313;4,382813;0,695313;3,851563;0,4375;2,742188;0,25;1,351563;3,226563;3,796875;4,6875
3,90625;2,125;4,164063;0,570313;1,96875;0,453125;2,09375;0,328125;1,351563;3,28125;3,796875;4,734375
20,078125;3;17,085938;1;11,953125;0,828125;8,101563;0,460938;1,492188;3,671875;4,28125;5,15625
7,851563;2,132813;9,8125;0,601563;12,703125;0,585938;19,445313;0,578125;1,539063;3,921875;4,828125;6,546875
5,914063;2,664063;5,382813;0,617188;5;0,617188;5,773438;0,289063;1,554688;4,007813;4,960938;6,820313
6,445313;2,359375;3,96875;0,867188;3,773438;0,460938;5,390625;0,289063;1,578125;4,023438;5,039063;7,0625
6,398438;3,453125;5,546875;0,703125;3,117188;0,398438;4,25;0,484375;1,585938;4,085938;5,078125;7,125
3,40625;10,367188;5,796875;0,585938;2,390625;0,429688;3,851563;0,3125;1,484375;4,179688;5,078125;7,140625
4,976563;3,890625;8,195313;1,476563;3,03125;0,539063;2,695313;0,328125;1,484375;4,234375;5,109375;7,210938
2,8125;5,796875;3,492188;3,164063;3,4375;1,195313;2,507813;0,8125;1,445313;4,015625;5;7,03125
5,875;18,804688;3,171875;1,375;2,414063;0,515625;2,890625;0,460938;1,3125;3,945313;4,953125;7
10,226563;11,648438;2,945313;1,179688;2,882813;0,664063;2,179688;0,460938;1,28125;3,914063;4,9375;6,929688
5,796875;5,796875;2,9375;1,023438;2,53125;0,523438;2,84375;0,296875;1,273438;3,890625;4,953125;7,015625
7,867188;7,0625;3,421875;1,140625;2,070313;0,390625;1,78125;0,265625;1,273438;3,859375;4,960938;6,914063
20,78125;3,601563;18,84375;1,117188;18,085938;0,703125;14,742188;0,71875;1,351563;4,15625;5,515625;7,523438
10,945313;5,5625;13,382813;1,085938;10,460938;0,429688;8,726563;0,34375;1,375;4,34375;5,851563;7,8125
8,640625;5,140625;3,664063;1,25;2,328125;0,570313;3,367188;0,328125;1,375;4,304688;5,796875;7,914063
4,59375;3,664063;3,234375;0,742188;2,96875;0,539063;2,28125;0,265625;1,367188;4,289063;5,757813;7,84375
4,179688;2,273438;1,75;0,96875;2,09375;0,625;2,585938;0,242188;1,375;4,242188;5,703125;7,929688
5,289063;2,765625;2,90625;0,671875;2,359375;0,328125;2,453125;0,226563;1,382813;4,257813;5,71875;7,859375
2,742188;3,414063;3,640625;0,835938;2,726563;0,46875;2,648438;0,234375;1,375;4,25;5,757813;7,945313
4,273438;3,773438;3,75;1,15625;3,140625;0,429688;1,632813;0,328125;1,375;4,226563;5,734375;7,859375
3,835938;3,46875;4,578125;0,929688;1,429688;0,4375;1,546875;0,273438;1,367188;4,242188;5,726563;7,890625
4,757813;2,140625;4,195313;1,03125;2,742188;0,40625;2,921875;0,351563;1,375;4,25;5,773438;7,859375
4,6875;2,851563;4,070313;1,117188;1,421875;0,367188;2,117188;0,21875;1,382813;4,234375;5,703125;7,945313
3,984375;1,992188;8,5;1,15625;3,125;0,484375;1,710938;0,210938;1,382813;4,289063;5,75;7,851563
6,257813;2,859375;5,640625;1,757813;3,015625;0,429688;3,203125;0,367188;1,390625;4,273438;5,734375;7,976563
4,65625;2,960938;6,695313;0,726563;2,84375;0,367188;2,09375;0,414063;1,398438;4,320313;5,78125;7,921875
