Kanal 1 Theta;Kanal 2 Theta;Kanal 1 Alpha;Kanal 2 Alpha;Kanal 1 Lo-Beta;Kanal 2 Lo-Beta;Kanal 1 Beta;Kanal 2 Beta;Ratio Theta Kanal 1 zu 2;Ratio Alpha Kanal 1 zu 2;Ratio Lo-Beta Kanal 1 zu 2;Ratio Beta Kanal 1 zu 2
6,46875;0,632813;4,320313;0,671875;3,164063;0,765625;2,875;0,34375;10,070313;9,015625;4,257813;6,148438
5,46875;0,507813;7,117188;0,820313;2,054688;0,53125;1,867188;0,242188;9,984375;8,929688;4,226563;6,101563
7,234375;0,882813;10,132813;0,992188;3,5625;0,984375;3,320313;0,601563;10,007813;8,945313;4,25;6,101563
4,046875;0,375;8,617188;0,648438;2,875;0,617188;2,726563;0,34375;9,867188;9,101563;4,21875;6,132813
4,296875;0,507813;4,5;0,570313;3,5;0,796875;2,601563;0,390625;9,90625;9,164063;4,195313;6,257813
5,320313;0,6875;5,09375;0,640625;2,523438;0,710938;2,679688;0,453125;9,78125;9,117188;4,179688;6,203125
7,484375;0,445313;8,578125;0,859375;3,625;0,773438;4,554688;0,414063;9,984375;9,117188;4,179688;6,242188
10,195313;0,625;5,507813;0,5;3,8125;0,710938;3,398438;0,515625;10,140625;9,21875;4,257813;6,296875
7,28125;0,953125;5,828125;0,726563;2,898438;0,726563;2,53125;0,507813;10,109375;9,195313;4,226563;6,132813
5,039063;0,5;5,132813;0,5625;2,8125;0,804688;3,140625;0,625;10,046875;9,203125;4,234375;6,1875
8,726563;0,734375;6,296875;0,570313;3,875;0,570313;4,296875;0,398438;10,140625;9,179688;4,195313;6,148438
4,398438;0,5625;5,671875;0,71875;2,96875;0,796875;2,648438;0,617188;9,984375;9,164063;4,203125;6,046875
8,757813;1,085938;14,40625;0,8125;2,617188;0,695313;2,007813;0,585938;10,070313;9,390625;4,203125;5,945313
8,03125;0,671875;7,28125;0,859375;2,28125;0,679688;3,171875;0,304688;10,132813;9,421875;4,179688;5,976563
5,460938;0,570313;6,59375;0,671875;3,640625;0,75;2,640625;0,359375;10,148438;9,460938;4,203125;6,0625
6,734375;0,601563;6,984375;0,742188;2,890625;0,71875;2,875;0,515625;10,195313;9,421875;4,21875;6,085938
6,484375;0,671875;8,789063;0,78125;2,976563;0,703125;1,578125;0,515625;10,15625;9,515625;4,234375;5,960938
4,328125;0,375;6,921875;0,921875;2,664063;0,609375;1,117188;0,421875;10,328125;9,539063;4,234375;5,929688
5,289063;0,875;2,75;0,6875;2,46875;0,6875;1,796875;0,460938;10,132813;9,453125;4,203125;5,914063
3,929688;0,484375;3,804688;0,5;1,210938;0,6875;2,289063;0,453125;10,148438;9,421875;4,171875;5,875
4,492188;0,515625;3,664063;0,609375;2,382813;0,625;2,429688;0,570313;9,984375;9,421875;4,1875;5,859375
3,617188;0,507813;4,601563;0,84375;2,609375;0,8125;1,75;0,445313;9,929688;9,28125;4,148438;5,890625
4,25;0,710938;6,390625;0,757813;2,398438;0,679688;1,867188;0,359375;9,90625;9,273438;4,140625;5,726563
3,070313;0,4375;3,390625;0,625;2,289063;0,65625;1,726563;0,226563;9,820313;9,21875;4,125;5,773438
4,0625;0,398438;5,625;0,765625;2,226563;0,648438;1,890625;0,375;9,6875;9,125;4,085938;5,773438
6,523438;0,726563;7,640625;0,789063;2,640625;0,929688;2,804688;0,554688;9,789063;9,21875;4,09375;5,773438
5,914063;0,765625;8,570313;0,773438;3,0625;1;2,5625;0,554688;9,648438;9,210938;4,070313;5,757813
9,828125;0,460938;11,1875;0,804688;5,90625;0,953125;2,148438;0,609375;9,84375;9,203125;4,140625;5,65625
3,9375;0,46875;4,648438;0,585938;3,234375;0,648438;2,867188;0,289063;9,789063;9,28125;4,140625;5,640625
3,703125;0,601563;5,40625;0,554688;2,296875;0,65625;2,75;0,40625;9,734375;9,226563;4,140625;5,625
5,507813;0,421875;7,625;0,679688;2,085938;0,664063;1,96875;0,265625;9,695313;9,296875;4,164063;5,71875
5,242188;0,429688;4,117188;0,6875;3,335938;0,625;2,359375;0,226563;9,695313;9,320313;4,171875;5,734375
6,054688;0,882813;4,03125;0,71875;3,171875;0,570313;2,53125;0,40625;9,609375;9,179688;4,164063;5,734375
15,617188;2,21875;25,359375;2,570313;22,578125;2,445313;23,679688;2,320313;9,429688;9,09375;4,328125;6
13,820313;0,476563;7,53125;0,460938;3,148438;0,648438;4,960938;0,351563;9,695313;9,1875;4,335938;6,140625
8,148438;0,492188;5,507813;0,8125;2,59375;0,851563;2,617188;0,320313;9,820313;9,140625;4,3125;6,109375
32,109375;1,59375;19,421875;0,898438;12,96875;1,078125;12,578125;1,046875;10,15625;9,34375;4,53125;6,34375
18,75;0,46875;8,960938;0,539063;6,554688;0,671875;4,359375;0,242188;10,734375;9,546875;4,640625;6,40625
9,992188;0,609375;14,015625;0,71875;2,953125;0,734375;2,375;0,554688;10,8125;9,710938;4,578125;6,390625
8,65625;0,460938;6,414063;0,484375;3,28125;0,671875;7,640625;0,421875;10,921875;9,734375;4,640625;6,539063
